,Country,Total Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Alpha3 code,Region,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Continent
0,USA,98166904.0,1084282.0,,94962112.0,2120510.0,2970.0,293206.0,3239.0,1118158870.0,3339729.0,334805269.0,USA,Northern America,9631420,31.0,0.21,3.41,6.5,37800.0,97.0,898.0,19.13,0.22,80.65,3.0,14.14,8.26,0.01,0.204,0.787,North America
1,India,44587307.0,528629.0,,44019095.0,39583.0,698.0,31698.0,376.0,894416853.0,635857.0,1406631776.0,IND,Asia (Ex. Near East),3287590,333.2,0.21,-0.07,56.29,2900.0,59.5,45.4,54.4,2.74,42.86,2.5,22.01,8.18,0.186,0.276,0.538,Asia
2,France,35342950.0,155078.0,,34527115.0,660757.0,869.0,538892.0,2365.0,271490188.0,4139547.0,65584518.0,FRA,Western Europe,547030,111.3,0.63,0.66,4.26,27600.0,99.0,586.4,33.53,2.07,64.4,4.0,11.99,9.14,0.022,0.214,0.764,Europe
3,Brazil,34706757.0,686027.0,,33838636.0,182094.0,8318.0,161162.0,3186.0,63776166.0,296146.0,215353593.0,BRA,Latin Amer. & Carib,8511965,22.1,0.09,-0.03,29.61,7600.0,86.4,225.3,6.96,0.9,92.15,2.0,16.56,6.17,0.084,0.4,0.516,South America
4,Germany,33312373.0,149948.0,,32315200.0,847225.0,1406.0,397126.0,1788.0,122332384.0,1458359.0,83883596.0,DEU,Western Europe,357021,230.9,0.67,2.18,4.16,27600.0,99.0,667.9,33.85,0.59,65.56,3.0,8.25,10.62,0.009,0.296,0.695,Europe
5,South Korea,24769101.0,28406.0,42.0,24013461.0,727234.0,352.0,482547.0,553.0,15804065.0,307892.0,51329899.0,KOR,Asia (Ex. Near East),98480,496.0,2.45,0.0,7.05,17800.0,97.9,486.1,17.18,1.95,80.87,3.0,10.0,5.85,0.033,0.403,0.563,Asia
6,United Kingdom,23621952.0,189919.0,,23347871.0,84162.0,146.0,344857.0,2773.0,522526476.0,7628357.0,68497907.0,GBR,Western Europe,244820,247.6,5.08,2.19,5.16,27700.0,99.0,543.5,23.46,0.21,76.33,3.0,10.71,10.13,0.005,0.237,0.758,Europe
7,Italy,22432803.0,177054.0,,21779604.0,476145.0,141.0,372250.0,2938.0,246636495.0,4092684.0,60262770.0,ITA,Western Europe,301230,193.0,2.52,2.07,5.94,26700.0,98.6,430.9,27.79,9.53,62.68,,8.72,10.4,0.021,0.291,0.688,Europe
8,Japan,21229216.0,44678.0,,20380089.0,804449.0,204.0,169043.0,356.0,76201407.0,606772.0,125584838.0,JPN,Asia (Ex. Near East),377835,337.4,7.87,0.0,3.26,28200.0,99.0,461.2,12.19,0.96,86.85,3.0,9.37,9.16,0.017,0.258,0.725,Asia
9,Russia,20948470.0,387163.0,,19979763.0,581544.0,2300.0,143674.0,2655.0,273400000.0,1875095.0,145805947.0,RUS,C.W. Of Ind. States,17075200,8.4,0.22,1.02,15.39,8900.0,99.6,280.6,7.33,0.11,92.56,,9.95,14.65,0.054,0.371,0.575,Europe
10,Turkey,16873793.0,101139.0,,16754301.0,18353.0,975.0,197211.0,1182.0,162743369.0,1902052.0,85561976.0,TUR,Near East,780580,90.2,0.92,0.0,41.04,6700.0,86.5,269.5,30.93,3.31,65.76,3.0,16.62,5.97,0.117,0.298,0.585,Asia
11,Spain,13412263.0,114084.0,,13218892.0,79287.0,339.0,287083.0,2442.0,471036328.0,10082298.0,46719142.0,ESP,Western Europe,504782,80.0,0.98,0.99,4.42,22000.0,97.9,453.5,26.07,9.87,64.06,3.0,10.06,9.72,0.04,0.295,0.665,Europe
12,Vietnam,11477886.0,43148.0,,10590917.0,843821.0,106.0,115993.0,436.0,85826548.0,867342.0,98953541.0,VNM,Asia (Ex. Near East),329560,256.1,1.05,-0.45,25.95,2500.0,90.3,187.7,19.97,5.95,74.08,2.0,16.86,6.22,0.209,0.41,0.381,Asia
13,Australia,10209239.0,14984.0,,10133494.0,60761.0,49.0,391627.0,575.0,78835048.0,3024116.0,26068792.0,AUS,Oceania,7686850,2.6,0.34,3.98,4.69,29000.0,100.0,565.5,6.55,0.04,93.41,1.0,12.14,7.51,0.038,0.262,0.7,Oceania
14,Argentina,9708420.0,129897.0,,9563348.0,15175.0,294.0,211006.0,2823.0,35716069.0,776264.0,46010234.0,ARG,Latin Amer. & Carib,2766890,14.4,0.18,0.61,15.18,11200.0,97.1,220.4,12.31,0.48,87.21,3.0,16.73,7.55,0.095,0.358,0.547,South America
15,Netherlands,8422336.0,22643.0,,8362464.0,37229.0,35.0,489345.0,1316.0,21107399.0,1226358.0,17211447.0,NLD,Western Europe,41526,397.1,1.09,2.91,5.04,28600.0,99.0,460.8,26.71,0.97,72.32,3.0,10.9,8.68,0.021,0.244,0.736,Europe
16,Iran,7548320.0,144421.0,,7325370.0,78529.0,157.0,87748.0,1679.0,54095556.0,628851.0,86022837.0,IRN,Asia (Ex. Near East),1648000,41.7,0.15,-0.84,41.58,7000.0,79.4,276.4,8.72,1.39,89.89,1.0,17.0,5.55,0.116,0.424,0.46,Asia
17,Mexico,7084488.0,330065.0,,6353953.0,400470.0,4798.0,53849.0,2509.0,18393211.0,139806.0,131562772.0,MEX,Latin Amer. & Carib,1972550,54.5,0.47,-4.87,20.91,9000.0,92.2,181.6,12.99,1.31,85.7,1.5,20.69,4.74,0.038,0.259,0.702,North America
18,Indonesia,6429767.0,158093.0,,6253317.0,18357.0,2771.0,23035.0,566.0,108656989.0,389264.0,279134505.0,IDN,Asia (Ex. Near East),1919440,127.9,2.85,0.0,35.6,3200.0,87.9,52.0,11.32,7.23,81.45,2.0,20.34,6.25,0.134,0.458,0.408,Asia
19,Taiwan,6417941.0,11003.0,,5603195.0,803743.0,,268661.0,461.0,25998416.0,1088319.0,23888595.0,TWN,Asia (Ex. Near East),35980,640.3,4.35,0.0,6.4,23400.0,96.1,591.0,24.0,1.0,75.0,2.0,12.56,6.48,0.018,0.259,0.723,Asia
20,Colombia,6307372.0,141794.0,,6134690.0,30888.0,342.0,122443.0,2753.0,36572720.0,709974.0,51512762.0,COL,Latin Amer. & Carib,1138910,38.3,0.28,-0.31,20.97,6300.0,92.5,176.2,2.42,1.67,95.91,2.0,20.48,5.58,0.125,0.342,0.533,South America
21,Poland,6289672.0,117539.0,,5335940.0,836193.0,3086.0,166659.0,3114.0,37335609.0,989290.0,37739785.0,POL,Eastern Europe,312685,123.3,0.16,-0.49,8.51,11100.0,99.8,306.3,45.91,1.12,52.97,3.0,9.85,9.89,0.05,0.311,0.64,Europe
22,Portugal,5490639.0,25024.0,,5394788.0,70827.0,61.0,541453.0,2468.0,44988307.0,4436467.0,10140570.0,PRT,Western Europe,92391,114.8,1.94,3.57,5.05,18000.0,93.3,399.2,21.75,7.81,70.44,3.0,10.72,10.5,0.053,0.274,0.673,Europe
23,Ukraine,5177217.0,109206.0,,4973554.0,94457.0,177.0,119865.0,2528.0,19521252.0,451963.0,43192122.0,UKR,C.W. Of Ind. States,603700,77.4,0.46,-0.39,20.34,5400.0,99.7,259.9,56.21,1.61,42.18,3.0,8.82,14.39,0.187,0.452,0.361,Europe
24,Austria,5118512.0,20738.0,,5006572.0,91202.0,47.0,564539.0,2287.0,197543761.0,21787811.0,9066710.0,AUT,Western Europe,83870,97.7,0.0,2.0,4.66,30000.0,98.0,452.2,16.91,0.86,82.23,3.0,8.74,9.76,0.018,0.304,0.678,Europe
25,Greece,4920192.0,33111.0,,4836903.0,50178.0,115.0,476918.0,3209.0,94139966.0,9125063.0,10316637.0,GRC,Western Europe,131940,81.0,10.37,2.35,5.53,20000.0,97.5,589.7,21.1,8.78,70.12,3.0,9.68,10.24,0.054,0.213,0.733,Europe
26,Malaysia,4838872.0,36369.0,,4777329.0,25174.0,43.0,145832.0,1096.0,64604259.0,1947021.0,33181072.0,MYS,Asia (Ex. Near East),329750,74.0,1.42,0.0,17.7,9000.0,88.7,179.0,5.48,17.61,76.91,2.0,22.86,5.05,0.084,0.48,0.436,Asia
27,North Korea,4772813.0,74.0,,4772739.0,0.0,,183636.0,3.0,,,25990679.0,PRK,Asia (Ex. Near East),120540,191.8,2.07,0.0,24.04,1300.0,99.0,42.4,20.76,2.49,76.75,3.0,15.54,7.13,0.3,0.34,0.36,Asia
28,Thailand,4681309.0,32767.0,9.0,4642083.0,6459.0,1496.0,66801.0,468.0,17270775.0,246450.0,70078203.0,THA,Asia (Ex. Near East),514000,125.7,0.63,0.0,20.48,7400.0,92.6,108.9,29.36,6.46,64.18,2.0,13.87,7.04,0.099,0.441,0.46,Asia
29,Israel,4661096.0,11698.0,,4641394.0,8004.0,101.0,499796.0,1254.0,41373364.0,4436346.0,9326000.0,ISR,Near East,20770,305.8,1.31,0.68,7.03,19800.0,95.4,462.3,16.39,4.17,79.44,3.0,17.97,6.18,0.026,0.317,0.657,Asia
30,Chile,4620377.0,61141.0,,4540886.0,18350.0,124.0,240017.0,3176.0,45128974.0,2344339.0,19250195.0,CHL,Latin Amer. & Carib,756950,21.3,0.85,0.0,8.8,9900.0,96.2,213.0,2.65,0.42,96.93,3.0,15.23,5.81,0.06,0.493,0.447,South America
31,Belgium,4533249.0,32659.0,,4451569.0,49021.0,48.0,388511.0,2799.0,35555508.0,3047194.0,11668278.0,BEL,Western Europe,30528,340.0,0.22,1.23,4.68,29100.0,98.0,462.6,23.28,0.4,76.32,3.0,10.38,10.27,0.01,0.24,0.749,Europe
32,Canada,4233468.0,44992.0,,4131367.0,57109.0,99.0,110280.0,1172.0,64928884.0,1691366.0,38388419.0,CAN,Northern America,9984670,3.3,2.02,5.96,4.75,29800.0,97.0,552.2,4.96,0.02,95.02,,10.78,7.8,0.022,0.294,0.684,North America
33,Peru,4143085.0,216539.0,,3914598.0,11948.0,147.0,122998.0,6429.0,35126382.0,1042815.0,33684208.0,PER,Latin Amer. & Carib,1285220,22.0,0.19,-1.05,31.94,5100.0,90.9,79.5,2.89,0.4,96.71,1.5,20.48,6.23,0.08,0.27,0.65,South America
34,Czechia,4100480.0,41059.0,,4035333.0,24088.0,39.0,381910.0,3824.0,56212735.0,5235528.0,10736784.0,CZE,Eastern Europe,78866,129.8,0.0,0.97,3.93,15700.0,99.9,314.3,39.8,3.05,57.15,3.0,9.02,10.59,0.034,0.393,0.573,Europe
35,Switzerland,4084307.0,14183.0,,4012833.0,57291.0,54.0,465520.0,1617.0,22318542.0,2543819.0,8773637.0,CHE,Western Europe,41290,182.2,0.0,4.05,4.39,32700.0,99.0,680.9,10.42,0.61,88.97,3.0,9.71,8.49,0.015,0.34,0.645,Europe
36,South Africa,4018769.0,102185.0,,3909265.0,7319.0,192.0,66146.0,1682.0,26174429.0,430811.0,60756135.0,ZAF,Sub-Saharan Africa,1219912,36.2,0.23,-0.29,61.81,10700.0,86.4,107.0,12.08,0.79,87.13,1.0,18.2,22.0,0.025,0.303,0.671,Africa
37,Philippines,3945566.0,62916.0,,3854478.0,28172.0,696.0,35069.0,559.0,32796350.0,291500.0,112508994.0,PHL,Asia (Ex. Near East),300000,298.2,12.1,-1.5,23.51,4600.0,92.6,38.4,18.95,16.77,64.28,2.0,24.89,5.41,0.144,0.326,0.53,Asia
38,Romania,3267370.0,67016.0,,3180124.0,20230.0,123.0,171684.0,3521.0,25094131.0,1318569.0,19031335.0,ROU,Eastern Europe,237500,93.9,0.09,-0.13,26.43,7000.0,98.4,196.9,40.82,2.25,56.93,3.0,10.7,11.77,0.101,0.35,0.549,Europe
39,Denmark,3110831.0,7065.0,,3093396.0,10370.0,,533138.0,1211.0,128397719.0,22004939.0,5834950.0,DNK,Western Europe,43094,126.5,16.97,2.48,4.56,31100.0,100.0,614.6,54.02,0.19,45.79,3.0,11.13,10.36,0.018,0.246,0.735,Europe
40,Sweden,2588441.0,20194.0,,2548125.0,20122.0,13.0,253298.0,1976.0,18965590.0,1855920.0,10218971.0,SWE,Western Europe,449964,20.0,0.72,1.67,2.77,26800.0,99.0,715.0,6.54,0.01,93.45,3.0,10.27,10.31,0.011,0.282,0.707,Europe
41,Iraq,2459982.0,25355.0,,2433704.0,923.0,21.0,58342.0,601.0,19239264.0,456286.0,42164965.0,IRQ,Near East,437072,61.3,0.01,0.0,50.25,1500.0,40.4,38.6,13.15,0.78,86.07,1.0,31.98,5.37,0.073,0.666,0.261,Asia
42,Serbia,2359530.0,17000.0,,2298536.0,43994.0,33.0,272683.0,1965.0,11030499.0,1274758.0,8653016.0,SRB,Eastern Europe,88361,106.3,0.0,-1.33,12.89,2200.0,93.0,285.8,33.35,3.2,63.45,,,,0.166,0.255,0.579,Europe
43,Hungary,2094142.0,47503.0,,2014175.0,32464.0,18.0,217998.0,4945.0,11394556.0,1186160.0,9606259.0,HUN,Eastern Europe,93030,107.3,0.0,0.86,8.57,13900.0,99.4,336.2,50.09,2.06,47.85,3.0,9.72,13.11,0.037,0.312,0.651,Europe
44,Bangladesh,2024489.0,29362.0,,1964501.0,30626.0,1331.0,12059.0,175.0,14872260.0,88586.0,167885689.0,BGD,Asia (Ex. Near East),144000,1023.4,0.4,-0.71,62.6,1900.0,43.1,7.3,62.11,3.07,34.82,2.0,29.8,8.27,0.199,0.198,0.603,Asia
45,Singapore,1904192.0,1617.0,,1821160.0,81415.0,9.0,320380.0,272.0,24345019.0,4096043.0,5943546.0,SGP,Asia (Ex. Near East),693,6482.2,27.85,11.53,2.29,23700.0,92.5,411.4,1.64,0.0,98.36,2.0,9.34,4.28,0.0,0.339,0.661,Asia
46,Slovakia,1843220.0,20455.0,,1817938.0,4827.0,22.0,337574.0,3746.0,7298163.0,1336613.0,5460193.0,SVK,Eastern Europe,48845,111.4,0.0,0.3,7.41,13300.0,,220.1,30.16,2.62,67.22,3.0,10.65,9.45,0.035,0.294,0.672,Europe
47,Georgia,1780691.0,16900.0,,1637293.0,126498.0,,448679.0,4258.0,16920079.0,4263340.0,3968738.0,GEO,C.W. Of Ind. States,69700,66.9,0.44,-4.7,18.59,2500.0,99.0,146.6,11.44,3.86,84.7,3.0,10.41,9.23,0.172,0.275,0.553,Asia
48,New Zealand,1779476.0,2959.0,,1767660.0,8857.0,,363292.0,604.0,7544063.0,1540170.0,4898203.0,NZL,Oceania,268680,15.2,5.63,4.05,5.85,21600.0,99.0,441.7,5.6,6.99,87.41,3.0,13.76,7.53,0.043,0.273,0.684,Oceania
49,Hong Kong,1761381.0,10153.0,,1469240.0,281988.0,8.0,231630.0,1335.0,54352132.0,7147553.0,7604299.0,HKG,Asia (Ex. Near East),1092,6355.7,67.12,5.24,2.97,28800.0,93.5,546.7,5.05,1.01,93.94,2.0,7.29,6.29,0.001,0.092,0.906,Asia
50,Jordan,1746997.0,14122.0,,1731007.0,1868.0,59.0,169597.0,1371.0,17201885.0,1669945.0,10300869.0,JOR,Near East,92300,64.0,0.03,6.59,17.35,4300.0,91.3,104.5,2.67,1.83,95.5,1.0,21.25,2.65,0.033,0.287,0.68,Asia
51,Ireland,1663653.0,7905.0,,1648405.0,7343.0,13.0,331392.0,1575.0,12708583.0,2531490.0,5020199.0,IRL,Western Europe,70280,57.8,2.06,4.99,5.39,29600.0,98.0,500.5,15.2,0.03,84.77,3.0,14.45,7.82,0.05,0.46,0.49,Europe
52,Pakistan,1572598.0,30616.0,3.0,1536924.0,5058.0,47.0,6853.0,133.0,30477451.0,132806.0,229488994.0,PAK,Asia (Ex. Near East),803940,206.2,0.13,-2.77,72.44,2100.0,45.7,31.8,27.87,0.87,71.26,1.0,29.74,8.23,0.216,0.251,0.533,Asia
53,Norway,1462318.0,4098.0,,1457108.0,1112.0,20.0,265327.0,744.0,11002430.0,1996315.0,5511370.0,NOR,Western Europe,323802,14.2,7.77,1.74,3.7,37800.0,100.0,461.7,2.87,0.0,97.13,3.0,11.46,9.4,0.021,0.415,0.564,Europe
54,Kazakhstan,1393468.0,13690.0,,1378440.0,1338.0,24.0,72557.0,713.0,11575012.0,602707.0,19205043.0,KAZ,C.W. Of Ind. States,2717300,5.6,0.0,-3.35,29.21,6300.0,98.4,164.1,7.98,0.05,91.97,4.0,16.0,9.42,0.067,0.386,0.547,Asia
55,Finland,1292940.0,5981.0,,1263711.0,23248.0,21.0,232754.0,1077.0,11505032.0,2071128.0,5554960.0,FIN,Western Europe,338145,15.5,0.37,0.95,3.57,27400.0,100.0,405.3,7.19,0.03,92.78,3.0,10.45,9.86,0.028,0.295,0.676,Europe
56,Morocco,1264935.0,16278.0,,1248543.0,114.0,293.0,33488.0,431.0,12577650.0,332982.0,37772756.0,MAR,Northern Africa,446550,74.4,0.41,-0.98,41.62,4000.0,51.7,40.4,19.61,2.17,78.22,,21.98,5.58,0.217,0.357,0.426,Africa
57,Bulgaria,1258670.0,37714.0,,1211397.0,9559.0,43.0,183892.0,5510.0,10559171.0,1542702.0,6844597.0,BGR,Eastern Europe,110910,66.6,0.32,-4.58,20.55,7600.0,98.6,336.3,40.02,1.92,58.06,3.0,9.65,14.27,0.093,0.304,0.603,Europe
58,Lithuania,1249134.0,9320.0,,1216151.0,23663.0,12.0,469298.0,3502.0,10174473.0,3822535.0,2661708.0,LTU,Baltics,65200,55.0,0.14,-0.71,6.89,11400.0,99.6,223.4,45.22,0.91,53.87,,8.75,10.98,0.055,0.325,0.62,Europe
59,Croatia,1231575.0,16902.0,,1209524.0,5149.0,10.0,303397.0,4164.0,5225875.0,1287388.0,4059286.0,HRV,Eastern Europe,56542,79.5,10.32,1.58,6.84,10600.0,98.5,420.4,26.09,2.27,71.65,,9.61,11.48,0.07,0.308,0.622,Europe
60,Lebanon,1215511.0,10674.0,,1087587.0,117250.0,74.0,181831.0,1597.0,4795578.0,717380.0,6684849.0,LBN,Near East,10400,372.5,2.16,0.0,24.52,4800.0,87.4,255.6,16.62,13.98,69.4,,18.52,6.21,0.12,0.21,0.67,Asia
61,Slovenia,1181073.0,6820.0,,1145051.0,29202.0,22.0,568361.0,3282.0,2743244.0,1320115.0,2078034.0,SVN,Eastern Europe,20273,99.2,0.23,1.12,4.45,19000.0,99.7,406.1,8.6,1.49,89.91,,8.98,10.31,0.028,0.369,0.603,Europe
62,Tunisia,1145686.0,29249.0,,,,99.0,95104.0,2428.0,4948208.0,410754.0,12046656.0,TUN,Northern Africa,163610,62.2,0.7,-0.57,24.77,6900.0,74.2,123.6,17.86,13.74,68.4,3.0,15.52,5.13,0.132,0.318,0.55,Africa
63,Guatemala,1123465.0,19789.0,,1102988.0,688.0,5.0,60453.0,1065.0,5884813.0,316660.0,18584039.0,GTM,Latin Amer. & Carib,108890,112.9,0.37,-1.67,35.93,4100.0,70.6,92.1,12.54,5.03,82.43,2.0,29.88,5.2,0.227,0.188,0.585,North America
64,Cuba,1111179.0,8530.0,,1102548.0,101.0,23.0,98285.0,754.0,14149157.0,1251512.0,11305652.0,CUB,Latin Amer. & Carib,110860,102.7,3.37,-1.58,6.33,2900.0,97.0,74.7,33.05,7.6,59.35,2.0,11.89,7.22,0.055,0.261,0.684,North America
65,Bolivia,1108195.0,22234.0,,1051789.0,34172.0,220.0,92406.0,1854.0,2705422.0,225590.0,11992656.0,BOL,Latin Amer. & Carib,1098580,8.2,0.0,-1.32,53.11,2400.0,87.2,71.9,2.67,0.19,97.14,1.5,23.3,7.53,0.128,0.352,0.52,South America
