,Country,Total Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Alpha3 code,Region,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Continent
137,Eswatini,73390.0,1422.0,,71955.0,13.0,11.0,61942.0,1200.0,1045903.0,882755.0,1184817.0,SWZ,Sub-Saharan Africa,17363,65.5,0.0,0.0,69.27,4900.0,81.6,30.8,10.35,0.7,88.95,2.5,27.41,29.74,0.119,0.515,0.366,Africa
138,Guyana,71336.0,1281.0,,69977.0,78.0,,89839.0,1613.0,695695.0,876141.0,794045.0,GUY,Latin Amer. & Carib,214970,3.6,0.21,-2.07,33.26,4000.0,98.8,143.5,2.44,0.15,97.41,2.0,18.28,8.28,0.37,0.203,0.427,South America
139,Belize,68826.0,683.0,,68079.0,64.0,6.0,166976.0,1657.0,576016.0,1397453.0,412190.0,BLZ,Latin Amer. & Carib,22966,12.5,1.68,0.0,25.69,4900.0,94.1,115.7,2.85,1.71,95.44,2.0,28.84,5.72,0.142,0.152,0.612,North America
140,Fiji,68242.0,878.0,,66302.0,1062.0,,75035.0,965.0,662620.0,728581.0,909466.0,FJI,Oceania,18270,49.6,6.18,-3.14,12.62,5800.0,93.7,112.6,10.95,4.65,84.4,2.0,22.55,5.65,0.089,0.135,0.776,Oceania
141,Madagascar,66676.0,1410.0,,65242.0,24.0,,2285.0,48.0,512993.0,17581.0,29178077.0,MDG,Sub-Saharan Africa,587040,31.7,0.82,0.0,76.83,800.0,68.9,3.6,5.07,1.03,93.91,2.0,41.41,11.11,0.276,0.165,0.559,Africa
142,Sudan,63285.0,4961.0,,57290.0,1034.0,,1376.0,108.0,562941.0,12240.0,45992020.0,SDN,Sub-Saharan Africa,2505810,16.5,0.03,-0.02,62.5,1900.0,61.1,16.3,6.83,0.18,92.99,2.0,34.53,8.97,0.387,0.203,0.41,Africa
143,Mauritania,62812.0,995.0,,61789.0,28.0,,12814.0,203.0,970892.0,198061.0,4901981.0,MRT,Sub-Saharan Africa,1030700,3.1,0.07,0.0,70.89,1800.0,41.7,12.9,0.48,0.01,99.51,1.0,40.99,12.16,0.25,0.29,0.46,Africa
144,Cabo Verde,62371.0,410.0,,61890.0,71.0,23.0,109870.0,722.0,401622.0,707482.0,567678.0,CPV,Sub-Saharan Africa,4033,104.4,23.93,-12.07,47.77,1400.0,76.6,169.6,9.68,0.5,89.82,3.0,24.87,6.55,0.121,0.219,0.66,Africa
145,Bhutan,61730.0,21.0,,61564.0,145.0,,78343.0,27.0,2303734.0,2923739.0,787941.0,BTN,Asia (Ex. Near East),47000,48.5,0.0,0.0,100.44,1300.0,42.2,14.3,3.09,0.43,96.48,2.0,33.65,12.7,0.258,0.379,0.363,Asia
146,Syria,57299.0,3163.0,,54078.0,58.0,,2959.0,163.0,146269.0,7553.0,19364809.0,SYR,Near East,185180,102.0,0.1,0.0,29.53,3300.0,76.9,153.8,25.22,4.43,70.35,1.0,27.76,4.81,0.249,0.23,0.519,Asia
147,Burundi,50129.0,38.0,,49559.0,532.0,,3971.0,3.0,345742.0,27386.0,12624840.0,BDI,Sub-Saharan Africa,27830,290.7,0.0,-0.06,69.29,600.0,51.6,3.4,35.05,14.02,50.93,2.0,42.22,13.46,0.463,0.203,0.334,Africa
148,Gabon,48691.0,306.0,,48292.0,93.0,,20884.0,131.0,1616256.0,693216.0,2331533.0,GAB,Sub-Saharan Africa,267667,5.3,0.33,0.0,53.64,5500.0,63.2,27.4,1.26,0.66,98.08,2.0,36.16,12.25,0.061,0.592,0.348,Africa
149,Seychelles,47141.0,169.0,,46446.0,526.0,,474132.0,1700.0,,,99426.0,SYC,Sub-Saharan Africa,455,179.2,107.91,-5.69,15.53,7800.0,58.0,262.4,2.22,13.33,84.45,2.0,16.03,6.29,0.032,0.304,0.665,Africa
150,Andorra,46227.0,155.0,,46011.0,61.0,14.0,596762.0,2001.0,249838.0,3225256.0,77463.0,AND,Western Europe,468,152.1,0.0,6.6,4.05,19000.0,100.0,497.2,2.22,0.0,97.78,3.0,8.71,6.25,,,,Europe
151,Papua New Guinea,44997.0,668.0,,43982.0,347.0,7.0,4842.0,72.0,249149.0,26813.0,9292169.0,PNG,Oceania,462840,12.3,1.11,0.0,51.45,2200.0,64.6,10.9,0.46,1.44,98.1,2.0,29.36,7.25,0.353,0.381,0.266,Oceania
152,Aruba,42914.0,227.0,,42438.0,249.0,2.0,398796.0,2109.0,177885.0,1653068.0,107609.0,ABW,Latin Amer. & Carib,193,372.5,35.49,0.0,5.89,28000.0,97.0,516.1,10.53,0.0,89.47,2.0,11.03,6.68,0.004,0.333,0.663,North America
153,Mauritius,40461.0,1024.0,,38786.0,651.0,,31741.0,803.0,358675.0,281374.0,1274727.0,MUS,Sub-Saharan Africa,2040,608.3,8.68,-0.9,15.03,11400.0,85.6,289.3,49.26,2.96,47.78,2.0,15.43,6.86,0.059,0.298,0.643,Africa
154,Mayotte,40243.0,187.0,,,,,140582.0,653.0,176919.0,618038.0,286259.0,MYT,Sub-Saharan Africa,374,538.1,49.52,6.78,62.4,2600.0,,49.7,,,,2.0,40.95,7.7,,,,Africa
155,Tanzania,39440.0,845.0,,,,7.0,623.0,13.0,,,63298550.0,TZA,Sub-Saharan Africa,945087,39.6,0.15,-2.06,98.54,600.0,78.2,4.0,4.52,1.08,94.4,,37.71,16.39,0.432,0.172,0.396,Africa
156,Togo,39034.0,285.0,,38528.0,221.0,,4497.0,33.0,791865.0,91220.0,8680837.0,TGO,Sub-Saharan Africa,56785,97.7,0.1,0.0,66.61,1500.0,60.9,10.6,46.15,2.21,51.64,2.0,37.01,9.83,0.395,0.204,0.401,Africa
157,Isle of Man,38008.0,116.0,,,,,443335.0,1353.0,150753.0,1758422.0,85732.0,IMN,Western Europe,572,131.9,27.97,5.36,5.93,21000.0,,676.0,9.0,0.0,91.0,3.0,11.05,11.19,0.01,0.13,0.86,Europe
158,Guinea,37652.0,449.0,,36880.0,323.0,8.0,2715.0,32.0,660107.0,47607.0,13865691.0,GIN,Sub-Saharan Africa,245857,39.4,0.13,-3.06,90.37,2100.0,35.9,2.7,3.63,2.58,93.79,2.0,41.76,15.48,0.237,0.362,0.401,Africa
159,Bahamas,37267.0,833.0,,36070.0,364.0,2.0,93047.0,2080.0,248846.0,621314.0,400516.0,BHS,Latin Amer. & Carib,13940,21.8,25.41,-2.2,25.21,16700.0,95.6,460.6,0.8,0.4,98.8,2.0,17.57,9.05,0.03,0.07,0.9,North America
160,Faroe Islands,34658.0,28.0,,,,5.0,703959.0,569.0,778000.0,15802409.0,49233.0,FRO,Western Europe,1399,33.8,79.84,1.41,6.24,22000.0,,503.8,2.14,0.0,97.86,,14.05,8.7,0.27,0.11,0.62,Europe
161,Lesotho,34490.0,706.0,,25980.0,7804.0,,15852.0,324.0,431221.0,198199.0,2175699.0,LSO,Sub-Saharan Africa,30355,66.6,0.0,-0.74,84.23,3000.0,84.8,23.7,10.87,0.13,89.0,3.0,24.75,28.71,0.163,0.443,0.394,Africa
162,Haiti,33733.0,857.0,,31307.0,1569.0,,2888.0,73.0,132422.0,11337.0,11680283.0,HTI,Latin Amer. & Carib,27750,299.4,6.38,-3.4,73.45,1600.0,52.9,16.9,28.3,11.61,60.09,2.0,36.44,12.17,0.28,0.2,0.52,North America
163,Mali,32625.0,742.0,,31591.0,292.0,,1519.0,35.0,759178.0,35354.0,21473764.0,MLI,Sub-Saharan Africa,1240000,9.5,0.0,-0.33,116.79,900.0,46.4,6.4,3.82,0.03,96.15,2.0,49.82,16.89,0.45,0.17,0.38,Africa
164,Cayman Islands,30661.0,32.0,,8553.0,22076.0,1.0,455743.0,476.0,222773.0,3311280.0,67277.0,CYM,Latin Amer. & Carib,262,173.4,61.07,18.75,8.19,35000.0,98.0,836.3,3.85,0.0,96.15,2.0,12.74,4.89,0.014,0.032,0.954,North America
165,Saint Lucia,29408.0,391.0,,28475.0,542.0,,158865.0,2112.0,210354.0,1136355.0,185113.0,LCA,Latin Amer. & Carib,616,273.5,25.65,-2.67,13.53,5400.0,67.0,303.3,6.56,22.95,70.49,2.0,19.68,5.08,0.07,0.2,0.73,North America
166,Benin,27638.0,163.0,,27322.0,153.0,5.0,2162.0,13.0,604310.0,47268.0,12784726.0,BEN,Sub-Saharan Africa,112620,69.8,0.11,0.0,85.0,1100.0,40.9,9.7,18.08,2.4,79.52,2.0,38.85,12.22,0.316,0.138,0.546,Africa
167,Somalia,27214.0,1352.0,,13182.0,12680.0,,1616.0,80.0,400466.0,23778.0,16841795.0,SOM,Sub-Saharan Africa,637657,13.9,0.47,5.37,116.7,500.0,37.8,11.3,1.67,0.04,98.29,1.0,45.13,16.63,0.65,0.1,0.25,Africa
168,Timor-Leste,23253.0,138.0,,23102.0,13.0,,16980.0,101.0,278529.0,203391.0,1369429.0,TLS,Asia (Ex. Near East),15007,70.8,4.7,0.0,47.41,500.0,58.6,,4.71,0.67,94.62,2.0,26.99,6.24,0.085,0.231,0.684,Asia
169,Burkina Faso,21631.0,387.0,,21143.0,101.0,,979.0,18.0,248995.0,11265.0,22102838.0,BFA,Sub-Saharan Africa,274200,50.7,0.0,0.0,97.57,1100.0,26.6,7.0,14.43,0.19,85.38,2.0,45.62,15.6,0.322,0.196,0.482,Africa
170,Solomon Islands,21544.0,153.0,,16357.0,5034.0,1.0,29874.0,212.0,5117.0,7096.0,721159.0,SLB,Oceania,28450,19.4,18.67,0.0,21.29,1700.0,,13.4,0.64,2.0,97.36,2.0,30.01,3.92,0.42,0.11,0.47,Oceania
171,San Marino,20763.0,118.0,,20524.0,121.0,4.0,609154.0,3462.0,157634.0,4624732.0,34085.0,SMR,Western Europe,61,479.5,0.0,10.98,5.73,34600.0,96.0,704.3,16.67,0.0,83.33,,10.02,8.17,,,,Europe
172,Gibraltar,20092.0,108.0,,16579.0,3405.0,,596131.0,3204.0,534283.0,15852213.0,33704.0,GIB,Western Europe,7,3989.7,171.43,0.0,5.13,17500.0,,877.7,0.0,0.0,100.0,,10.74,9.31,,,,Europe
173,Liechtenstein,19713.0,86.0,,19403.0,224.0,2.0,513533.0,2240.0,102174.0,2661682.0,38387.0,LIE,Western Europe,160,212.4,0.0,4.85,4.7,25000.0,100.0,585.5,25.0,0.0,75.0,4.0,10.21,7.18,0.06,0.39,0.55,Europe
174,Grenada,19536.0,237.0,,19248.0,51.0,4.0,172161.0,2089.0,179808.0,1584560.0,113475.0,GRD,Latin Amer. & Carib,344,260.8,35.17,-13.92,14.62,5000.0,98.0,364.5,5.88,29.41,64.71,2.0,22.08,6.88,0.054,0.18,0.766,North America
175,Nicaragua,18491.0,225.0,,4225.0,14041.0,,2728.0,33.0,,,6779100.0,NIC,Latin Amer. & Carib,129494,43.0,0.7,-1.22,29.11,2300.0,67.5,39.7,15.94,1.94,82.12,2.0,24.51,4.45,0.165,0.275,0.56,North America
176,Bermuda,18154.0,148.0,,17969.0,37.0,,293095.0,2389.0,1006083.0,16243126.0,61939.0,BMU,Northern America,53,1241.0,194.34,2.49,8.53,36000.0,98.0,851.4,20.0,0.0,80.0,2.0,11.4,7.74,0.01,0.1,0.89,North America
177,Tajikistan,17786.0,125.0,,17264.0,397.0,,1786.0,13.0,,,9957464.0,TJK,C.W. Of Ind. States,143100,51.2,0.0,-2.86,110.76,1000.0,99.4,33.5,6.61,0.92,92.47,2.0,32.65,8.25,0.234,0.286,0.48,Asia
178,Equatorial Guinea,17012.0,183.0,,16690.0,139.0,5.0,11367.0,122.0,365697.0,244342.0,1496662.0,GNQ,Sub-Saharan Africa,28051,19.3,1.06,0.0,85.13,2700.0,85.7,18.5,4.63,3.57,91.8,2.0,35.59,15.06,0.03,0.906,0.062,Africa
179,Tonga,16182.0,12.0,,15638.0,532.0,,150182.0,111.0,535009.0,4965327.0,107749.0,TON,Oceania,748,153.3,56.02,0.0,12.62,2200.0,98.5,97.7,23.61,43.06,33.33,2.0,25.37,5.28,0.23,0.27,0.5,Oceania
180,Samoa,15925.0,29.0,,1605.0,14291.0,4.0,78743.0,143.0,187397.0,926612.0,202239.0,WSM,Oceania,2944,60.1,13.69,-11.7,27.71,5600.0,99.7,75.2,21.2,24.38,54.42,2.0,16.43,6.62,0.114,0.584,0.302,Oceania
181,Dominica,15747.0,74.0,,15651.0,22.0,,217668.0,1023.0,228799.0,3162653.0,72344.0,DMA,Latin Amer. & Carib,754,91.4,19.63,-13.87,14.15,5400.0,94.0,304.8,6.67,20.0,73.33,2.0,15.27,6.73,0.177,0.328,0.495,North America
182,Djibouti,15690.0,189.0,,15427.0,74.0,,15441.0,186.0,305941.0,301094.0,1016097.0,DJI,Sub-Saharan Africa,23000,21.2,1.37,0.0,104.13,1300.0,67.9,22.8,0.04,0.0,99.96,1.0,39.53,19.31,0.179,0.225,0.596,Africa
183,Marshall Islands,15275.0,17.0,,15166.0,92.0,22.0,254342.0,283.0,,,60057.0,MHL,Oceania,11854,5.1,3.12,-6.04,29.45,1600.0,93.7,91.2,16.67,38.89,44.44,2.0,33.05,4.78,0.317,0.149,0.534,Oceania
184,Central African Republic,14913.0,113.0,,14520.0,280.0,2.0,2973.0,23.0,81294.0,16205.0,5016678.0,CAF,Sub-Saharan Africa,622984,6.9,0.0,0.0,91.0,1100.0,51.0,2.3,3.1,0.14,96.76,2.0,33.91,18.65,0.55,0.2,0.25,Africa
185,Monaco,14608.0,63.0,,14478.0,67.0,4.0,367192.0,1584.0,78646.0,1976875.0,39783.0,MCO,Western Europe,2,16271.5,205.0,7.75,5.43,27000.0,99.0,1035.6,0.0,0.0,100.0,,9.19,12.91,0.17,,,Europe
186,Gambia,12508.0,372.0,,12028.0,108.0,,4889.0,145.0,155686.0,60851.0,2558482.0,GMB,Sub-Saharan Africa,11300,145.3,0.71,1.57,72.02,1700.0,40.1,26.8,25.0,0.5,74.5,2.0,39.37,12.25,0.308,0.142,0.549,Africa
187,Greenland,11971.0,21.0,,2761.0,9189.0,4.0,210117.0,369.0,164926.0,2894810.0,56973.0,GRL,Northern America,2166086,0.0,2.04,-8.37,15.82,20000.0,,448.9,0.0,0.0,100.0,1.0,15.93,7.84,,,,North America
188,Yemen,11935.0,2157.0,,9124.0,654.0,23.0,383.0,69.0,329592.0,10579.0,31154867.0,YEM,Near East,527970,40.6,0.36,0.0,61.5,800.0,50.2,37.2,2.78,0.24,96.98,1.0,42.89,8.3,0.135,0.472,0.393,Asia
189,Vanuatu,11930.0,14.0,,11894.0,22.0,,37069.0,44.0,24976.0,77606.0,321832.0,VUT,Oceania,12200,17.1,20.72,0.0,55.16,2900.0,53.0,32.6,2.46,7.38,90.16,2.0,22.72,7.82,0.26,0.12,0.62,Oceania
190,Eritrea,10169.0,103.0,,10063.0,3.0,,2777.0,28.0,23693.0,6470.0,3662244.0,ERI,Sub-Saharan Africa,121320,39.5,1.84,0.0,74.87,700.0,58.6,7.9,4.95,0.03,95.02,1.5,34.33,9.6,0.102,0.254,0.643,Africa
191,Niger,9931.0,312.0,,8890.0,729.0,1.0,381.0,12.0,254538.0,9759.0,26083660.0,NER,Sub-Saharan Africa,1267000,9.9,0.0,-0.67,121.69,800.0,17.6,1.9,3.54,0.01,96.45,1.0,50.73,20.91,0.39,0.17,0.44,Africa
192,Micronesia,9759.0,29.0,,157.0,9573.0,1.0,83063.0,247.0,21923.0,186596.0,117489.0,FSM,Oceania,702,153.9,870.66,-20.99,30.21,2000.0,89.0,114.8,5.71,45.71,48.58,2.0,24.68,4.75,0.289,0.152,0.559,Oceania
193,Antigua and Barbuda,9098.0,146.0,,8923.0,29.0,1.0,91429.0,1467.0,18901.0,189943.0,99509.0,ATG,Latin Amer. & Carib,443,156.0,34.54,-6.15,19.46,11000.0,89.0,549.9,18.18,4.55,77.27,2.0,16.93,5.37,0.038,0.22,0.743,North America
194,Guinea-Bissau,8796.0,175.0,,8301.0,320.0,6.0,4263.0,85.0,145231.0,70385.0,2063367.0,GNB,Sub-Saharan Africa,36120,39.9,0.97,-1.57,107.17,800.0,42.4,7.4,10.67,8.82,80.51,2.0,37.22,16.53,0.62,0.12,0.26,Africa
195,Comoros,8471.0,161.0,,8305.0,5.0,,9335.0,177.0,,,907419.0,COM,Sub-Saharan Africa,2170,318.4,15.67,0.0,74.93,700.0,56.5,24.5,35.87,23.32,40.81,2.0,36.93,8.2,0.4,0.04,0.56,Africa
196,Liberia,7961.0,294.0,,7636.0,31.0,2.0,1501.0,55.0,139824.0,26356.0,5305117.0,LBR,Sub-Saharan Africa,111370,27.3,0.52,0.0,128.87,1000.0,57.5,2.3,3.95,2.28,93.77,2.0,44.77,23.1,0.769,0.054,0.177,Africa
197,Sierra Leone,7751.0,126.0,,,,,933.0,15.0,259958.0,31296.0,8306436.0,SLE,Sub-Saharan Africa,71740,83.7,0.56,0.0,143.64,500.0,31.4,4.0,6.98,0.89,92.13,2.0,45.76,23.03,0.49,0.31,0.21,Africa
198,Chad,7583.0,193.0,,4874.0,2516.0,,435.0,11.0,191341.0,10988.0,17413580.0,TCD,Sub-Saharan Africa,1284000,7.7,0.0,-0.11,93.82,1200.0,47.5,1.3,2.86,0.02,97.12,2.0,45.73,16.38,0.335,0.259,0.406,Africa
199,Saint Kitts and Nevis,6541.0,46.0,,6482.0,13.0,,121420.0,854.0,124861.0,2317778.0,53871.0,KNA,Latin Amer. & Carib,261,149.9,51.72,-7.11,14.49,8800.0,97.0,638.9,19.44,2.78,77.78,2.0,18.02,8.33,0.035,0.258,0.707,North America
200,Cook Islands,6389.0,1.0,,6384.0,4.0,,363610.0,57.0,19690.0,1120596.0,17571.0,COK,Oceania,240,89.1,50.0,,,5000.0,95.0,289.9,17.39,13.04,69.57,2.0,21.0,,0.151,0.096,0.753,Oceania
201,Turks and Caicos,6380.0,36.0,,6321.0,23.0,4.0,160539.0,906.0,550093.0,13841952.0,39741.0,TCA,Latin Amer. & Carib,430,49.2,90.47,11.68,15.67,9600.0,98.0,269.5,2.33,0.0,97.67,2.0,21.84,4.21,,,,North America
202,Sao Tome and Principe,6230.0,77.0,,6132.0,21.0,,27363.0,338.0,29036.0,127530.0,227679.0,STP,Sub-Saharan Africa,1001,193.2,20.88,-2.72,43.11,1200.0,79.3,36.2,6.25,48.96,44.79,2.0,40.25,6.47,0.167,0.148,0.684,Africa
203,Palau,5460.0,6.0,,5444.0,10.0,1.0,299457.0,329.0,64681.0,3547469.0,18233.0,PLW,Oceania,458,44.9,331.66,2.85,14.84,9000.0,92.0,325.6,8.7,4.35,86.95,2.0,18.03,6.8,0.062,0.12,0.818,Oceania
204,Nauru,4611.0,1.0,,4605.0,5.0,,422911.0,92.0,20509.0,1881042.0,10903.0,NRU,Oceania,21,632.7,142.86,0.0,9.95,5000.0,,143.0,0.0,0.0,100.0,2.0,24.76,6.7,,,,Oceania
205,Anguilla,3865.0,12.0,,3848.0,5.0,4.0,253775.0,788.0,51382.0,3373736.0,15230.0,AIA,Latin Amer. & Carib,102,132.1,59.8,10.76,21.03,8600.0,95.0,460.0,0.0,0.0,100.0,2.0,14.17,5.34,0.04,0.18,0.78,North America
206,Kiribati,3430.0,13.0,,2703.0,714.0,3.0,27792.0,105.0,,,123419.0,KIR,Oceania,811,130.0,140.94,0.0,48.52,800.0,,42.7,2.74,50.68,46.58,2.0,30.65,8.26,0.089,0.242,0.668,Oceania
207,Saint Pierre and Miquelon,3188.0,1.0,,2449.0,738.0,1.0,553568.0,174.0,24902.0,4324015.0,5759.0,SPM,Northern America,242,29.0,49.59,-4.86,7.54,6900.0,99.0,683.2,13.04,0.0,86.96,,13.52,6.83,,,,North America
208,Montserrat,1396.0,8.0,,1353.0,35.0,,281168.0,1611.0,17579.0,3540584.0,4965.0,MSR,Latin Amer. & Carib,102,92.5,39.22,0.0,7.35,3400.0,97.0,,20.0,0.0,80.0,2.0,17.59,7.1,,,,North America
209,"Saint Helena, Ascension and Tristan da Cunha",1355.0,,,2.0,1353.0,,221586.0,,,,6115.0,SHN,Sub-Saharan Africa,413,18.2,14.53,0.0,19.0,2500.0,97.0,293.3,12.9,0.0,87.1,,12.13,6.53,,,,Africa
210,Macao,793.0,6.0,,787.0,0.0,,1188.0,9.0,7850.0,11760.0,667490.0,MAC,Asia (Ex. Near East),28,16183.0,146.43,4.86,4.39,19400.0,94.5,384.9,0.0,0.0,100.0,2.0,8.48,4.47,0.001,0.072,0.927,Asia
211,Wallis and Futuna,761.0,7.0,,438.0,316.0,,69295.0,637.0,20508.0,1867419.0,10982.0,WLF,Oceania,274,58.5,47.08,,,3700.0,50.0,118.6,5.0,25.0,70.0,2.0,,,,,,Oceania
212,Tuvalu,20.0,,,,20.0,,1658.0,,,,12066.0,TUV,Oceania,26,454.2,92.31,0.0,20.03,1100.0,,59.3,0.0,0.0,100.0,2.0,22.18,7.11,0.166,0.272,0.562,Oceania
213,Western Sahara,10.0,1.0,,9.0,0.0,,16.0,2.0,,,626161.0,ESH,Northern Africa,266000,1.0,0.42,,,,,,0.02,0.0,99.98,1.0,,,,,0.4,Africa
